buildingName,name,description,services,phoneNumber,floor,suite
20 Patriot Place,Multi Specialty Clinic,"Multi Specialty Clinic provides expert care in dermatological care, and allergy management.",Cardiac arrhythmia services; Dermatology services; Neurosurgery services; Optometry services; Pulmonology services; Women's health services; Allergy management; Gastroenterology services; Neurology services; Endocrinology services; Kidney services; Renal services; Medicine services; Ophthalmology services; Rheumatology services; Vein care services services; Patient financial services services,(866) 378-9164,3,0
20 Patriot Place,Blood Draw/Phlebotomy,Blood Draw/Phlebotomy provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
20 Patriot Place,Urgent Care Center,Urgent Care Center provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,1,0
20 Patriot Place,Urology,Urology provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,1,0
20 Patriot Place,Orthopaedics,Orthopaedics provides expert and compassionate care across multiple specialties.,Hand services; Upper extremity services; Arthroplasty services; Pediatric trauma services; Physiatry services; Podiatry services,(866) 378-9164,2,0
20 Patriot Place,Rehabilitation Services,Rehabilitation Services provides expert and compassionate care across multiple specialties.,Cardiac rehab; occupational therapy; Hand therapy; Upper extremity; Physical therapy; Speech & language services,(866) 378-9164,2,0
20 Patriot Place,Clinical Lab,Clinical Lab provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,2,0
20 Patriot Place,Surgi-Care,Surgi-Care provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,2,0
20 Patriot Place,Surgical Specialties,Surgical Specialties provides expert and compassionate care across multiple specialties.,Audiology; ENT services; General services; Gastrointestinal surgery services; Plastic surgery services; Thoracic surgery services; Vascular surgery services; Weight management services; Wellness services,(866) 378-9164,3,0
20 Patriot Place,Sports Medicine Center,Sports Medicine Center provides expert and compassionate care across multiple specialties.,X-ray services,(866) 378-9164,3,0
20 Patriot Place,Electromyography (EMG),Electromyography (EMG) provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
20 Patriot Place,Nutrition,Nutrition provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
20 Patriot Place,Pain Medicine,Pain Medicine provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
20 Patriot Place,Pulmonary Function Testing,Pulmonary Function Testing provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
20 Patriot Place,Day Surgery Center,Day Surgery Center provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
22 Patriot Place,Community Room,Community Room provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
22 Patriot Place,Primary Care,Primary Care provides expert and compassionate care tailored to patient needs.,,(866) 378-9164,4,0
Faulkner,Admission,Admission provides expert patient services,admission,(617) 732-5500,1,0
Faulkner,Audiology,Audiology provides expert patient services,audiology,(617) 732-5501,1,0
Faulkner,Blood Draw,Blood Draw provides expert patient services,lab work,(617) 732-5502,1,0
Faulkner,Cardiac Rehab,Cardiac Rehab provides expert patient services,cardiac testing,(617) 732-5503,1,0
Faulkner,Pre-admission,Pre-admission provides expert patient services,pre-admission services,(617) 732-5504,1,0
Faulkner,Radiology,Radiology provides expert patient services,MRI; CAT Scan,(617) 732-5505,1,0
Faulkner,Emergency,Emergency provides expert patient services,First aid; emergency surgery,(617) 732-5506,1,0
Main,Ambulatory Radiology ,Radiology services for emergencies,X-ray ; CAT scan,(617) 732-5501,2,0
Main,Lee Bell Center,Provides expert patient services,Breast imaging,(617) 732-5502,2,0
Main,Endoscopy,Provides expert patient services,Diagnostic and therapeutic procedures using endoscopes.,(617) 732-5503,2,0
Main,Mammography,Provides expert patient services,Advanced breast cancer screening and diagnostics.,(617) 732-5504,2,0
Main,"Phlebotomy, Outpatient",Provides expert patient services,Outpatient blood draw and sample collection services.,(617) 732-5505,2,0
Main,Shaprio Center,Provides expert patient services,Centralized medical care and administrative services.,(617) 732-5506,2,0
Main,Brigham Circle Medical Associates (BCMA),Provides expert patient services,General medical services.,(617) 732-5507,2,0
Main,Brigham Medical Specialties,Provides expert patient services,Weight Management; Endocrine; Gastroenterology; Genetics; Infectious Disease; Kidney Medicine; Nutrition,(617) 732-5508,2,0
Main,Center for Chest Diseases,Provides expert patient services,General medical services.,(617) 732-5509,2,0
Main,Dental Group/Oral Medicine,Provides expert patient services,General medical services.,(617) 732-5510,2,0
Main,"Ear, Nose, Throat",Provides expert patient services,General medical services.,(617) 732-5511,2,0
Main,Echocardiolgraphy Lab (ECHO),Provides expert patient services,General medical services.,(617) 732-5512,2,0
Main,Electrophysiology,Provides expert patient services,General medical services.,(617) 732-5513,2,0
Main,International Patient Center,Provides expert patient services,General medical services.,(617) 732-5514,2,0
Main,Jen Center for Primary Care,Provides expert patient services,General medical services.,(617) 732-5515,2,0
Main,Plastic and Reconstructive Surgery,Provides expert patient services,General medical services.,(617) 732-5516,2,0
Main,Othopedics,Provides expert patient services,Orthopedics; podiatrry,(617) 732-5517,2,0
Main,Rheumatology,Provides expert patient services,General medical services.,(617) 732-5518,2,0
Main,Thoracic Surgery Center,Provides expert patient services,General medical services.,(617) 732-5519,2,0
Main,Watkins Cardiovascular Clinic,Provides expert patient services,General medical services.,(617) 732-5520,2,0
Main,Weiner Center,Provides expert patient services,Pre-op evaluation,(617) 732-5521,2,0
