Building ID,Building Name,Building Address,Building Phone,Location ID,Floor,Suite,Node ID,Node Type,Node Description,Node Coordinates,From Edges,To Edges,Department ID,Department Name,Department Phone,Department Description,Services
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3220,5,575,,Location,,,,,159,Brigham Obstetrics and Gynecology Group (BOGG),(617) 732-9100,"Gynecology, obstetrics","Gynecology,obstetrics"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3221,4,422,,Location,,,,,169,Osher Clinical Center for Integrative Health,(617) 732-9700,"Acupuncture, health coaching, chiropractic, integrative medicine, massage therapy, neurology, echocardiography, pulmonary","Acupuncture,health coaching,chiropractic,integrative medicine,massage therapy,neurology,echocardiography,pulmonary"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3222,2,202,,Location,,,,,161,Endoscopy Center,(617) 732-7426,"Bacterial overgrowth breath test, colonoscopy, H. Pylori breath test, lactose malabsorption breath test, upper endoscopy","Bacterial overgrowth breath test,colonoscopy,H. Pylori breath test,lactose malabsorption breath test,upper endoscopy"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3223,1,130,,Location,,,,,167,Multi-Specialty Clinic,(617) 732-9500,"Orthopedic surgery, vascular surgery, dermatology, pain medicine, travel medicine","Orthopedic surgery,vascular surgery,dermatology,pain medicine,travel medicine"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3224,1,102B,,Location,,,,,173,"Radiology, MRI/CT scan",(617) 732-9821,"CT scan, MRI, X-Ray","CT scan,MRI,X-Ray"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3225,1,,3138,Intermediary,1c,"42.32613778563545, -71.1494999852283","3134,3134,3148,3148","3144,3144",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3226,1,,3139,Intermediary,1right entrance,"42.32598456705039, -71.1492591632769","3141,3141","3142,3142,3149,3141,3141,3142,3142,3149",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3227,1,Chestnut Drop Off,3140,Entrance,,"42.3262940433051, -71.1495987024141","3135,3135","3145,3145",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3228,1,,3141,Location,1right entrance outside,"42.325987404435, -71.14921598802664","3139,3139","3139,3139",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3229,1,,3142,Intermediary,1a,"42.32596342800452, -71.14936183115955","3139,3139,3150,3139,3139,3142,3142,3150","3134,3142,3147,3142,3134,3147",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3230,1,,3143,Entrance,1top entrance outside,"42.32623496574831, -71.14950957972837","3145,3144,3144,3145",,,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3231,1,,,Location,,,,,173,"Radiology, MRI/CT scan",(617) 732-9821,"CT scan, MRI, X-Ray","CT scan,MRI,X-Ray"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3232,1,,3144,Intermediary,1top entrance,"42.32620375463355, -71.14950766082836","3138,3138,3148,3148","3143,3143",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3233,1,,3145,Intermediary,1drop off,"42.3262950636318, -71.1494980200208","3140,3140","3143,3143",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3234,1,Radiology Check in,3146,Location,,"42.32576554543684, -71.14952220165384",,"3137,3137",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3235,1,,3147,Intermediary,,"42.32593891159286, -71.1493983749145","3142,3142",,,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3236,1,Multispecialty Clinic Check In,3148,Location,,"42.32615339121115, -71.1495997680289",,"3138,3144,3138,3144",,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3237,3,301,,Location,,,,,157,Allergy and Clinical Immunology,(617) 732-9850,"Allergy, (environmental, food, medication, and venoms), asthma, anaphylaxis, angioedema, sinusitis, and immunodeficiency","Allergy,(environmental,food,medication,venoms),asthma,anaphylaxis,angioedema,sinusitis,immunodeficiency"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3238,3,317,,Location,,,,,168,Brigham Dermatology Associates (BDA),(617) 732-9080,Medical and surgical dermatology,"Medical,surgical dermatology"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3239,4,402,,Location,,,,,166,Gretchen S. and Edward A. Fish Center for Women's Health,(617) 732-9300,"Cardiology, dermatology, endocrinology, gastroenterology, hematology, infectious diseases, mental health, general neurology, nutrition, primary care, pulmonary, sleep medicine, women's health","Cardiology,dermatology,endocrinology,gastroenterology,hematology,infectious diseases,mental health,general neurology,nutrition,primary care,pulmonary,sleep medicine,women's health"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3240,3,317,,Location,,,,,179,Pharmacy,(866) 378-9164,,Outpatient pharmacy services
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3241,3,320,,Location,,,,,158,Center for Pain Medicine,(617) 732-9060,Multidisciplinary pain management,Multidisciplinary pain management
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3242,5,560,,Location,,,,,175,Radiology,(866) 378-9164,,"Bone density,Breast imaging/Mammography,ultrasound,X-Ray"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3243,1,130,,Location,,,,,165,Laboratory,(617) 732-9841,"Blood work, lab services","Blood work,lab services"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3244,1,,,Location,,,,,167,Multi-Specialty Clinic,(617) 732-9500,"Orthopedic surgery, vascular surgery, dermatology, pain medicine, travel medicine","Orthopedic surgery,vascular surgery,dermatology,pain medicine,travel medicine"
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3245,1,Labratory Check In,3149,Location,,"42.32601916515503, -71.14927991094007","3139,3139",,,,,,
1,Chestnut Hill Medical Center,"25 Boylston St, Chestnut Hill, Ma 02467",(617) 482-5500,3246,1,,3150,Intermediary,1d,"42.32573420125254, -71.149337230413","3137,3137","3142,3142",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3250,2,0,,Location,,,,,183,Orthopaedics,(866) 378-9164,"Hand and Upper Extremity, Arthroplasty, Pediatric Trauma, Physiatry, Podiatry","Hand,Upper Extremity,Arthroplasty,Pediatric Trauma,Physiatry,Podiatry"
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3251,4,0,,Location,,,,,193,Pulmonary Function Testing,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3252,4,0,,Location,,,,,192,Nutrition,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3253,4,0,,Location,,,,,190,Day Surgery Center,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3254,1,,,Location,,,,,179,Pharmacy,(866) 378-9164,,Outpatient pharmacy services
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3264,1,,,Location,,,,,174,Cardiovascular Services,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3265,3,0,,Location,,,,,187,Sports Medicine Center,(866) 378-9164,X-Ray Suite,X-Ray Suite
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3266,2,0,,Location,,,,,185,Clinical Lab,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3267,2,0,,Location,,,,,177,Rehabilitation Services,(617) 732-9525,"Orthopedic, sports, neurologic and vestibular Physical Therapy, pelvic floor therapy, occupational therapy, speech language pathology","Orthopedic,sports,neurologic,vestibular Physical Therapy,pelvic floor therapy,occupational therapy,speech language pathology,Cardiac Rehab; Occupational Therapy,Hand Therapy,Upper Extremity; Physical Therapy,Speech - Language"
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3268,4,0,,Location,,,,,188,Electromyography (EMG),(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3269,4,0,,Location,,,,,191,Pain Medicine,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3270,2,0,,Location,,,,,189,Surgi-Care,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3271,3,0,,Location,,,,,184,Surgical Specialties,(866) 378-9164,"Audiology; ENT, General and Gastrointestinal Surgery, Plastic Surgery, Thoracic Surgery, Vascular Surgery, Weight Management and Wellness","Audiology; ENT,General,Gastrointestinal Surgery,Plastic Surgery,Thoracic Surgery,Vascular Surgery,Weight Management,Wellness"
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3272,1,0,,Location,,,,,179,Pharmacy,(866) 378-9164,,Outpatient pharmacy services
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3273,1,0,,Location,,,,,181,Urgent Care Center,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3274,1,0,,Location,,,,,182,Urology,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3275,1,0,,Location,,,,,175,Radiology,(866) 378-9164,,"Bone density,Breast imaging/Mammography,ultrasound,X-Ray"
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3276,1,0,,Location,,,,,176,Blood Draw/ Phlebotomy,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3277,1,0,,Location,,,,,174,Cardiovascular Services,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3287,1,,,Location,,,,,176,Blood Draw/ Phlebotomy,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3288,1,,,Location,,,,,181,Urgent Care Center,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3290,1,,,Location,,,,,175,Radiology,(866) 378-9164,,"Bone density,Breast imaging/Mammography,ultrasound,X-Ray"
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3291,1,,,Location,,,,,182,Urology,(866) 378-9164,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3618,1,,3492,Intermediary,,"42.09280143323186, -71.26597508036133","3497,3493",3500,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3625,1,,3499,Intermediary,,"42.09283655951788, -71.26634242651524",3490,"3471,3468",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3626,1,,3500,Intermediary,,"42.09288861774415, -71.2660068874085","3491,3492",3490,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3627,1,,3501,Intermediary,,"42.09280155753453, -71.26609917893244","3493,3471",,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3629,1,,3503,Intermediary,,"42.09295811024115, -71.26641472868964",,"3502,3468",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3591,1,,3467,Intermediary,,"42.09274785691412, -71.26577336154429",,"3498,3497",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3592,1,,3468,Intermediary,,"42.09295811024115, -71.26639453323477","3503,3499",,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3593,1,,3505,Staircase,1right stairs,"42.09269336041523, -71.26556278969058",,"3506,3506",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3595,1,,3506,Intermediary,1a10,"42.09266726258686, -71.26566180438081","3488,3505,3505,3488","3489,3472,3489",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3596,1,Urgent Care Check In,3470,Location,,"42.0926650408915, -71.2662246207559","3484,3484",,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3598,1,,3472,Intermediary,,"42.09271965007993, -71.26569024994551",3506,3469,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3600,1,,3475,Intermediary,1a8,"42.092623133389, -71.26585752124697","3481,3481,3482,3482,3489,3489","3480,3480",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3601,1,20 Patriot Dropoff,3473,Intermediary,,"42.09247336762025, -71.26641176178101","3474,3496,3474,3496",,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3603,1,,3477,Intermediary,1a4,"42.09254626478749, -71.26625433268069","3486,3486","3476,3476,3494",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3604,1,,3478,Intermediary,,"42.09267493474191, -71.26630211836606","3484,3484,3479,3479","3471,3471",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3605,1,Radiology Check In,3479,Location,,"42.0926520552107, -71.26636128320014",,"3478,3478",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3606,1,,3480,Intermediary,1a7,"42.09261916187092, -71.26592058298796","3475,3475","3485,3485",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3607,1,Radiology/Cardiology Check In,3481,Location,,"42.09266962903347, -71.26587524340704",,"3475,3475",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3608,1,,3483,Intermediary,1a11,"42.0926866990128, -71.26601241507981",3497,"3487,3485,3485",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3611,1,,3486,Intermediary,1a5,"42.09257990960563, -71.26611327620677","3485,3485","3477,3477",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3613,1,,3487,Intermediary,,"42.09268357611791, -71.26604706990031","3483,3494",3493,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3614,1,,3488,Elevator,120elevator,"42.09270037060884, -71.26563201459822",,"3506,3506",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3616,1,,3490,Intermediary,,"42.09290557254992, -71.26604620876762",3500,3499,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3617,1,,3491,Intermediary,,"42.09282242262571, -71.26584118871833",3498,3500,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3619,1,,3494,Intermediary,,"42.09262744889683, -71.26627820921316",3477,"3484,3487",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3621,1,20 Patriot Parking,3495,Intermediary,,"42.09239375603648, -71.26640630098952",,"3474,3474",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3623,1,,3497,Intermediary,,"42.0927095498695, -71.26593670421391","3482,3467","3483,3492",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3624,1,,3498,Intermediary,,"42.09278079011421, -71.26574907774123",3467,3491,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3628,1,,3502,Intermediary,,"42.09297132172277, -71.2664255392851",3503,,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3630,1,,3504,Intermediary,,"42.09281586843251, -71.26557041084988",3469,,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3594,1,,3469,Intermediary,,"42.09276539589145, -71.26562806317699",3472,3504,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3597,1,Pharmacy,3471,Location,,"42.09274729839142, -71.26630552975095","3478,3499,3478",3501,,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3599,1,,3474,Intermediary,,"42.09244299684364, -71.26636591008061","3495,3495","3473,3473",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3602,1,,3476,Intermediary,1a1,"42.09254026815625, -71.26631879921271","3477,3477","3496,3496",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3609,1,,3482,Location,1urology/cardiology,"42.09266962903347, -71.26587524340705",,"3475,3497,3475",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3610,1,,3484,Intermediary,,"42.09264092462519, -71.26628628552201",3494,"3478,3478,3470,3470",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3612,1,Phlebotomy Check In,3485,Location,,"42.09261854034366, -71.26602514931052","3483,3483,3480,3480","3486,3486",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3615,1,,3489,Intermediary,1a9,"42.09264397789291, -71.26574711750027","3506,3506","3475,3475",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3620,1,,3493,Intermediary,,"42.09277943635251, -71.2660819291307",3487,"3501,3492",,,,,
2,20 Patriot Place,"20 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3622,1,,3496,Intermediary,1left entrance,"42.09251916200432, -71.26635382787208","3476,3476","3473,3473",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3316,4,,,Location,,,,,180,Blood Draw/Phlebotomy,(866) 378-9164,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3293,3,,3174,Intermediary,,"42.09263241877448, -71.26681850068876","3190,3190","3175,3175",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3294,3,,3175,Intermediary,,"42.09257237292339, -71.26684977232132","3174,3174","3176,3176",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3295,3,Check In 3rd Floor,3176,Location,,"42.09251726655001, -71.2668799072314","3175,3197,3175,3197","3199,3199",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3298,4,0,,Location,,,,,195,Primary Care,(866) 378-9164,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3305,3,,3185,Intermediary,,"42.09269522308108, -71.26673485983152","3190,3190","3198,3198",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3310,3,,3190,Intermediary,,"42.09264810323298, -71.2667553085241","3201,3200,3200,3201","3174,3185,3174,3185",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3314,2,,3194,Elevator,222elevator,"42.092589, -71.266719","3363,3365,3395","3395,3363,3365",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3315,4,0,,Location,,,,,194,Community Room,(866) 378-9164,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3317,3,0,,Location,,,,,178,Multi Specialty Clinic,(866) 378-9164,"Cardiac Arrhythmia, Dermatology, Neurosurgery, Optometry, Pulmonology, Women's Health, Allergy, Gastroenterology, Neurology, Endocrinology, Kidney (Renal) Medicine, Ophthalmology, Rheumatology, Vein Care Services, Patient Financial Services","Cardiac Arrhythmia,Dermatology,Neurosurgery,Optometry,Pulmonology,Women's Health,Allergy,Gastroenterology,Neurology,Endocrinology,Kidney (Renal) Medicine,Ophthalmology,Rheumatology,Vein Care Services,Patient Financial Services"
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3318,4,0,,Location,,,,,180,Blood Draw/Phlebotomy,(866) 378-9164,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3319,3,,,Location,,,,,178,Multi Specialty Clinic,(866) 378-9164,"Cardiac Arrhythmia, Dermatology, Neurosurgery, Optometry, Pulmonology, Women's Health, Allergy, Gastroenterology, Neurology, Endocrinology, Kidney (Renal) Medicine, Ophthalmology, Rheumatology, Vein Care Services, Patient Financial Services","Cardiac Arrhythmia,Dermatology,Neurosurgery,Optometry,Pulmonology,Women's Health,Allergy,Gastroenterology,Neurology,Endocrinology,Kidney (Renal) Medicine,Ophthalmology,Rheumatology,Vein Care Services,Patient Financial Services"
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3321,3,,3197,Intermediary,,"42.09257445814016, -71.26690784983485",,"3176,3176",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3322,3,,3198,Intermediary,3b2,"42.09273187001533, -71.26681109974093","3185,3185",,,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3323,3,,3199,Intermediary,,"42.09255360481608, -71.26678735000752","3176,3176","3201,3201",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3324,3,,3200,Intermediary,,"42.09263650803628, -71.26657534431536",,"3190,3190",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3325,3,,3201,Intermediary,,"42.09259417999945, -71.26674969629521","3199,3199","3190,3190",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3485,1,,3363,Elevator,122elevator,"42.092589, -71.266719","3365,3365,3365,3365,3365,3365,3395,3194,3365,3365,3381,3381,3365,3365","3365,3365,3194,3365,3365,3365,3365,3365,3386,3365,3365,3365,3365,3386,3365,3395",,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3486,1,,3367,Intermediary,,"42.09299182014465, -71.2667799924521",3368,3394,,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3487,1,,3368,Intermediary,,"42.09301195280452, -71.266814994612",3369,3367,,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3488,1,,3369,Intermediary,,"42.09293303765955, -71.26691296719672","3370,3394",3368,,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3489,1,,3364,Entrance,1entrance outside,"42.09263285093304, -71.26645783564037","3380,3380,3386,3386",,,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3490,1,,3370,Intermediary,,"42.09286216336692, -71.26699648813239","3371,3387",3369,,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3491,1,,3371,Intermediary,,"42.09279691841495, -71.26708190012933",3390,3370,,,,,
3,22 Patriot Place,"22 Patriot Pl, Foxboro, MA 02035",(866) 378-9164,3492,1,Recepetion,3362,Location,,"42.09252744791866, -71.26679051686153",3385,"3381,3381",,,,,
